date,camera,video_file,time,loom_no,butterfly_no,parrot_no,surg_no,chromis_pres,butterfly_fl,parrot_fl,surg_fl,chromis_fl,completion_date,completed_by,notes,roving_pres,roving_fl,fish_pres,response,,
6/11/2024,A,GX179698,7:04,134,0,2,1,y,n,n,n,n,11/24/2024,KL,"Chromis seem to react to something before stimulus looms, could affect their reaction to stimulus.",y,n,y,n,,
6/11/1024,A,GX179698,8:04,135,0,0,1,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX189698,0:33,136,0,1,2,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX189698,1:33,137,0,1,0,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX189698,2:36,138,0,0,0,y,n,n,n,n,11/24/2024,KL,,n,n,y,n,,
6/11/2024,A,GX189698,3:36,139,2,0,1,n,n,n,n,n,11/24/2024,KL,Butterfly fish are swimming into the arena as stimulus looms. ,y,n,y,n,,
6/11/2024,A,GX189698,4:36,140,0,0,1,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX189698,5:38,141,1,1,0,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX189698,6:38,142,0,1,0,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX199698,0:07,144,0,1,0,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX199698,1:08,145,0,0,1,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX199698,3:09,147,0,1,0,n,n,n,n,n,11/24/2024,KL,Parrotfish swimming out of frame.,y,n,y,n,,
6/11/2024,A,GX199698,4:11,148,0,0,1,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX199698,8:15,152,0,2,1,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX209698,1:42,154,0,1,0,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX209698,2:45,155,0,0,2,y,n,n,n,n,11/24/2024,KL,Chromis seem to be reacting to something else before stimulus looms.,y,n,y,n,,
6/11/2024,A,GX209698,3:45,156,0,0,1,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX209698,5:49,158,0,1,1,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX209698,7:50,160,0,1,0,y,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX219698,0:17,161,0,1,0,n,n,n,n,n,12/03/2024,KL,Damselfish possibly reacts.,y,n,y,n,,
6/11/2024,A,GX219698,1:19,162,0,0,0,y,n,n,n,n,12/03/2024,KL,,n,n,y,n,,
6/11/2024,A,GX219698,2:20,163,0,1,0,y,n,n,n,n,12/03/2024,KL,Parrotfish swimming out of arena.,y,n,y,n,,
6/11/2024,A,GX219698,4:22,165,0,0,1,y,n,n,n,y,12/03/2024,KL,,y,n,y,y,,
6/11/2024,A,GX219698,6:24,167,0,0,0,y,n,n,n,n,12/03/2024,KL,,n,n,y,n,,
6/11/2024,A,GX219698,7:24,168,1,1,0,y,n,n,n,n,12/03/2024,KL,,y,n,y,n,,
6/11/2024,A,GX229698,0:54,170,0,1,1,n,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX229698,1:54,171,0,0,1,n,n,n,n,n,12/05/2024,KL,Surgeonfish swimming out of frame.,y,n,y,n,,
6/11/2024,A,GX229698,2:56,172,0,0,1,y,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX229698,5:58,175,0,0,0,y,n,n,n,n,12/05/2024,KL,,n,n,y,n,,
6/11/2024,A,GX229698,7:00,176,0,0,1,y,n,n,n,n,12/05/2024,KL,Surgeonfish swimming out of frame. ,y,n,y,n,,
6/11/2024,A,GX229698,8:00,177,0,0,1,n,n,n,n,n,12/05/2024,KL,Surgeonfish swimming out of frame. ,y,n,y,n,,
6/11/2024,A,GX239698,0:29,178,0,0,1,n,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX239698,2:31,180,0,0,2,n,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX239698,3:31,181,0,0,1,y,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX239698,4:32,182,0,0,1,y,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX239698,5:33,183,0,0,1,n,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX239698,6:33,184,0,0,0,y,n,n,n,n,12/05/2024,KL,Chromis swimming out of frame. ,n,n,y,n,,
6/11/2024,A,GX239698,7:35,185,0,0,1,n,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX249698,0:04,186,0,0,0,y,n,n,n,n,12/05/2024,KL,,n,n,y,n,,
6/11/2024,A,GX249698,1:04,187,0,0,0,y,n,n,n,n,12/05/2024,KL,,n,n,y,n,,
6/11/2024,A,GX249698,2:05,188,0,0,1,n,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX249698,4:07,190,0,1,1,n,n,n,n,n,12/05/2024,KL,Parrotfish swimming out of frame. ,y,n,y,n,,
6/11/2024,A,GX249698,7:10,193,0,1,1,y,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX259698,0:39,195,0,0,1,y,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX259698,1:40,196,0,0,1,n,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX259698,2:40,197,0,0,1,n,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX259698,3:42,198,0,0,1,y,n,n,n,n,12/05/2024,KL,,y,n,y,n,,
6/11/2024,A,GX259698,5:43,200,0,0,0,y,n,n,n,n,12/05/2024,KL,,n,n,y,n,,
6/11/2024,A,GX259698,7:45,202,0,0,0,y,n,n,n,n,12/05/2024,KL,,n,n,y,n,,
6/11/2024,A,GX269698,0:15,203,0,1,0,y,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX269698,1:15,204,0,1,0,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX269698,2:16,205,0,0,0,y,n,n,n,n,12/06/2024,KL,,n,n,y,n,,
6/11/2024,A,GX269698,3:17,206,0,0,1,y,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX269698,4:18,207,0,0,1,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX269698,6:19,209,0,0,0,y,n,n,n,n,12/06/2024,KL,,n,n,y,n,,
6/11/2024,A,GX269698,8:22,211,0,0,1,n,n,n,n,n,12/06/2024,KL,Surgeonfish on edge of frame. ,y,n,y,n,,
6/11/2024,A,GX279698,2:52,214,1,0,1,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX279698,3:52,215,0,0,0,y,n,n,n,n,12/06/2024,KL,,n,n,y,n,,
6/11/2024,A,GX279698,6:55,218,0,2,0,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX289698,0:25,220,0,1,1,n,n,n,n,n,12/06/2024,KL,Parrotfish swimming out of frame.,y,n,y,n,,
6/11/2024,A,GX289698,1:25,221,0,1,2,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX289698,2:27,222,0,1,2,y,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX289698,3:27,223,0,2,0,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX289698,4:29,224,0,1,0,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX289698,5:29,225,0,1,0,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX289698,7:31,227,0,1,1,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX299698,1:01,229,0,1,0,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX299698,2:02,230,0,0,1,n,n,n,n,n,12/06/2024,KL,Damselfish reacts to stimulus.,y,n,y,n,,
6/11/2024,A,GX299698,5:04,233,0,0,3,n,n,n,n,n,12/06/2024,KL,Surgeonfish swimming out of arena. ,y,n,y,n,,
6/11/2024,A,GX299698,6:05,234,0,0,2,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX299698,7:05,235,0,1,0,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX309698,1:37,238,0,1,1,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX309698,3:37,240,0,0,1,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX309698,4:38,241,0,0,1,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX309698,5:40,242,0,1,1,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX309698,6:41,243,0,1,0,y,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX309698,7:42,244,0,1,1,n,n,n,n,n,12/06/2024,KL,Parrotfish swimming out of arena. ,y,n,y,n,,
6/11/2024,A,GX319698,0:10,245,0,0,1,n,n,n,n,n,12/06/2024,KL,,y,n,y,n,,
6/11/2024,A,GX319698,3:13,248,0,0,0,y,n,n,n,n,12/07/2024,KL,,n,n,y,n,,
6/11/2024,A,GX319698,5:15,250,0,0,0,y,n,n,n,n,12/07/2024,KL,,n,n,y,n,,
6/11/2024,A,GX319698,6:15,251,0,0,0,y,n,n,n,n,12/07/2024,KL,,n,n,y,n,,
6/11/2024,A,GX319698,7:17,252,0,1,0,n,n,n,n,n,12/07/2024,KL,,y,n,y,n,,
6/11/2024,A,GX329698,0:46,254,0,0,0,y,n,n,n,n,12/07/2024,KL,,n,n,y,n,,
6/11/2024,A,GX329698,2:47,256,0,1,0,y,n,n,n,n,12/07/2024,KL,,y,n,y,n,,
6/11/2024,A,GX329698,4:50,258,0,0,0,y,n,n,n,n,12/07/2024,Kl,,n,n,y,n,,
6/11/2024,A,GX329698,5:51,259,0,0,1,n,n,n,n,n,12/07/2024,KL,,y,n,y,n,,
6/11/2024,A,GX329698,7:53,261,0,0,0,y,n,n,n,n,12/07/2024,KL,,n,n,y,n,,
6/11/2024,A,GX339698,0:21,262,0,0,0,y,n,n,n,n,12/07/2024,KL,,n,n,y,n,,
6/11/2024,A,GX339698,1:22,263,0,0,0,y,n,n,n,n,12/07/2024,KL,,n,n,y,n,,
6/11/2024,A,GX339698,2:23,264,0,0,1,n,n,n,n,n,12/07/2024,KL,,y,n,y,n,,
